"Betweenness Dir","Closeness Dir","EigenVector Dir","InDegree","name","OutDegree","selected","shared name"
"0.0","14.500000000000002","-11.508628645076223","0.0","Aidan Campbell","4.0","true","Aidan Campbell"
"31.504112042927822","22.5","1.9700379226094278","21.0","Kurtis Henry","20.0","false","Kurtis Henry"
"8.934154631058654","19.833333333333332","-1.517772407302164","17.0","Cameron Morton","15.0","false","Cameron Morton"
"21.09909067540646","22.0","-3.296026956230398E-14","21.0","Jack Duff","19.0","false","Jack Duff"
"11.091110175514196","21.833333333333336","-0.4522655153072237","18.0","Jamie Drysdale","19.0","false","Jamie Drysdale"
"26.534039468443492","23.5","0.9965172371175862","21.0","Austen Swankler","22.0","false","Austen Swankler"
"17.475731110135147","22.0","-1.7515706821643853","17.0","Drew Hunter","19.0","false","Drew Hunter"
"6.823075432479451","20.833333333333332","0.45993103251581546","17.0","Elias Cohen","17.0","false","Elias Cohen"
"12.832824017228045","21.833333333333332","-0.4522655153072206","23.0","Maxim Golod","19.0","false","Maxim Golod"
"6.745369804773827","20.833333333333336","1.2264827533755385","18.0","Chad Yetman","17.0","false","Chad Yetman"
"24.3246729577612","22.5","-5.898615492015317","21.0","Connor Lockhart","20.0","false","Connor Lockhart"
"29.659003393407424","21.333333333333336","-3.238681020632193","18.0","Daniel D'Amato","18.0","false","Daniel D'Amato"
"1.7480190561072915","18.166666666666664","6.01743100874859","13.0","Kyen Sopa","12.0","false","Kyen Sopa"
"3.368554952958979","18.833333333333332","-5.231715494867396","16.0","Danial Singer","13.0","false","Danial Singer"
"25.605943952847984","19.0","1.1383293054766455","13.0","Noah Sedore","13.0","false","Noah Sedore"
"10.177053910142142","22.0","0.8777017203843288","20.0","Emmett Sproule","19.0","false","Emmett Sproule"
"1.1237155818038171","17.166666666666664","-2.1156827495727524","12.0","Matthew MacDougall","10.0","false","Matthew MacDougall"
"4.688140922544946","20.0","-0.406272412055649","18.0","Brendan Sellan","15.0","false","Brendan Sellan"
"5.573710908114932","20.833333333333332","3.2041861931934967","17.0","Hayden Fowler","17.0","false","Hayden Fowler"
"8.471471072786857","21.0","2.3954741276865326","17.0","Jacob Golden","17.0","false","Jacob Golden"
"3.69327426959006","18.833333333333332","-0.1916379302149128","13.0","Luke Beamish","13.0","false","Luke Beamish"
"5.52681613622016","19.0","3.6564517085007124","15.0","Brendan Hoffmann","13.0","false","Brendan Hoffmann"
"0.5712213225371119","17.666666666666668","3.6794482601265135","6.0","Brendan Kischnick","11.0","false","Brendan Kischnick"
"0.05263157894736842","16.5","-3.3689948131783383","2.0","Christian Kyrou","8.0","false","Christian Kyrou"
"0.0","0.0","1.1153327538508468","1.0","Alex Gritz","0.0","false","Alex Gritz"
"0.3762626262626263","16.166666666666668","6.38920859336553","1.0","Daniel Murphy","8.0","false","Daniel Murphy"
"0.0","0.0","-0.23379827486220608","2.0","Brett Bressette","0.0","false","Brett Bressette"
